AccountOID,ConsumptionDate,Consumption
115301,2020-08-30,1.487
131327,2020-09-20,0.000
62776,2020-09-11,0.000
250022,2020-05-03,266.500
248365,2020-09-15,22.560
151568,2021-01-31,4.169
37302,2020-10-18,0.610
255456,2019-08-25,2.363
150462,2019-09-28,0.418
56796,2020-05-13,1.618
15898,2020-05-15,0.431
252287,2019-11-02,0.498
250022,2021-03-07,561.100
8621,2020-02-28,1.508
12857,2020-06-03,2.147
56988,2020-10-21,0.000
85008,2019-10-04,0.502
256508,2019-08-27,0.000
131327,2019-06-29,0.952
269089,2020-05-11,0.418
256971,2020-10-27,0.000
13155,2019-08-14,0.730
248696,2019-08-16,0.036
7336,2020-11-15,0.000
33804,2020-12-09,0.406
71392,2019-05-30,1.774
20041,2020-02-07,0.408
260283,2021-02-16,0.255
6557,2020-11-18,0.519
151568,2019-09-09,6.623
250022,2020-01-13,1149.900
17194,2019-05-10,1.046
13636,2020-12-18,1.952
13537,2020-02-20,1.028
283681,2020-04-11,3.362
250022,2020-11-16,234.200
262462,2020-08-24,2.892
256970,2020-05-09,0.170
249660,2020-08-03,1.056
171301,2020-08-05,0.000
268752,2019-03-03,0.552
13155,2021-01-05,0.095
253177,2020-06-16,0.507
247389,2019-12-22,0.600
260185,2020-08-25,4.957
260417,2020-03-08,0.582
848,2020-03-24,0.928
262259,2021-01-07,0.697
139516,2019-10-09,59.465
56796,2020-10-24,0.826
269089,2020-03-27,0.451
33447,2020-04-18,1.051
261986,2020-04-08,0.380
251881,2020-02-12,1.507
254538,2021-01-14,0.587
248917,2020-02-21,15.028
16129,2020-03-20,0.795
29102,2019-02-25,1.314
13636,2019-12-18,1.231
798,2019-04-05,0.365
59449,2020-01-06,1.122
248917,2020-02-17,7.957
123533,2020-11-12,0.252
245332,2020-12-27,0.000
249951,2021-03-23,2.848
250197,2021-01-30,5.888
17194,2020-08-22,1.288
250197,2020-08-07,4.005
20753,2019-01-31,0.038
106646,2021-02-07,0.280
250197,2020-11-06,3.560
62776,2021-03-20,0.800
